大剑I回电压_5,大剑I回电压_6,大剑I回电压_7,大剑I回电压_8,大剑I回_33,大剑I回_34,大剑I回_35,大剑I回_36
-71.3580322265625,74.66899871826172,-3.152329921722412,0.20970599353313446,-0.016457000747323036,-0.015544000081717968,0.01890699937939644,-0.002580000087618828
-74.00171661376953,72.1263198852539,1.92671799659729,0.13980300724506378,-0.01299699954688549,-0.015544000081717968,0.01890699937939644,0.0008479999960400164
-76.38422393798828,69.47122955322266,7.00041389465332,0.031065000221133232,-0.01299699954688549,-0.015544000081717968,0.022346999496221542,-0.002580000087618828
-78.48424530029297,66.48960876464844,11.849326133728027,-0.10097400099039078,-0.01299699954688549,-0.015544000081717968,0.01890699937939644,0.0008479999960400164
-80.26446533203125,63.37416458129883,16.676830291748047,-0.23301300406455994,-0.009537000209093094,-0.01899999938905239,0.01890699937939644,-0.006008000113070011
-81.74620819091797,59.95895004272461,21.515037536621094,-0.3495180010795593,-0.01299699954688549,-0.01899999938905239,0.012027000077068806,-0.006008000113070011
-82.9134750366211,56.21720504760742,26.31578254699707,-0.4737899899482727,-0.006076999939978123,-0.02245599962770939,0.012027000077068806,-0.002580000087618828
-83.76627349853516,52.175689697265625,31.148637771606445,-0.6834989786148071,0.0008430000161752105,-0.01899999938905239,0.01546700019389391,-0.002580000087618828
-84.24064636230469,47.812992095947266,35.960086822509766,-0.7223340272903442,-0.006076999939978123,-0.02245599962770939,0.01890699937939644,-0.006008000113070011
-84.38988494873047,43.193355560302734,40.71266174316406,-0.7922369837760925,0.0008430000161752105,-0.02245599962770939,0.01890699937939644,-0.002580000087618828
-84.15003204345703,38.26859664916992,45.4010124206543,-0.7844700217247009,0.0008430000161752105,-0.02245599962770939,0.01890699937939644,-0.006008000113070011
-83.5370864868164,33.14042282104492,49.93415832519531,-0.7067999839782715,0.0008430000161752105,-0.025911999866366386,0.012027000077068806,-0.009436000138521194
-82.64164733886719,27.905187606811523,54.344207763671875,-0.5825279951095581,0.0008430000161752105,-0.02245599962770939,0.012027000077068806,-0.006008000113070011
-81.45838165283203,22.573598861694336,58.561580657958984,-0.43495500087738037,0.007763000205159187,-0.029368000105023384,0.012027000077068806,-0.002580000087618828
-79.93933868408203,17.156362533569336,62.49530029296875,-0.2563140094280243,0.007763000205159187,-0.025911999866366386,0.008586999960243702,-0.006008000113070011
-77.98322296142578,11.835480690002441,66.04902648925781,-0.04660499840974808,0.007763000205159187,-0.02245599962770939,0.008586999960243702,-0.002580000087618828
-75.82457733154297,6.610952854156494,69.26557922363281,0.256307989358902,0.011222999542951584,-0.02245599962770939,0.008586999960243702,-0.002580000087618828
-73.45805358886719,1.4560140371322632,72.11819458007812,0.4038810133934021,0.011222999542951584,-0.02245599962770939,0.008586999960243702,0.0008479999960400164
-70.85701751708984,-3.607923984527588,74.69251251220703,0.5825219750404358,0.011222999542951584,-0.02245599962770939,0.008586999960243702,0.0008479999960400164
-68.00546264648438,-8.58086109161377,76.92964935302734,0.7456290125846863,0.011222999542951584,-0.02245599962770939,0.008586999960243702,0.0008479999960400164
-64.9940185546875,-13.446738243103027,78.81890106201172,0.893202006816864,0.011222999542951584,-0.02245599962770939,0.008586999960243702,0.0008479999960400164
-61.705406188964844,-18.317968368530273,80.49407958984375,0.877668023109436,0.014682999812066555,-0.025911999866366386,0.001706999959424138,0.0008479999960400164
-58.198265075683594,-23.141021728515625,81.85348510742188,0.8699010014533997,0.014682999812066555,-0.02245599962770939,0.001706999959424138,0.0008479999960400164
-54.39264678955078,-27.985485076904297,82.83290100097656,0.8310660123825073,0.014682999812066555,-0.02245599962770939,-0.0017330000409856439,0.0008479999960400164
-50.208595275878906,-32.85671615600586,83.50725555419922,0.823298990726471,0.014682999812066555,-0.02245599962770939,-0.0017330000409856439,0.0008479999960400164
-45.7420539855957,-37.70653533935547,83.82837677001953,0.6990270018577576,0.014682999812066555,-0.02245599962770939,-0.0017330000409856439,-0.002580000087618828
-41.1316032409668,-42.427879333496094,83.84442901611328,0.4660170078277588,0.014682999812066555,-0.02245599962770939,-0.0017330000409856439,0.0008479999960400164
-36.21734619140625,-47.074283599853516,83.4537353515625,0.33397799730300903,0.021602999418973923,-0.01899999938905239,-0.005173000041395426,0.0008479999960400164
-31.111204147338867,-51.624332427978516,82.82755279541016,0.20193900167942047,0.021602999418973923,-0.01899999938905239,-0.005173000041395426,0.0008479999960400164
-25.90912437438965,-56.003089904785156,82.01940155029297,0.11650200188159943,0.021602999418973923,-0.01899999938905239,-0.012052999809384346,0.0008479999960400164
-20.600444793701172,-60.0981330871582,80.72421264648438,0.05436599999666214,0.021602999418973923,-0.01899999938905239,-0.012052999809384346,-0.006008000113070011
-15.2864351272583,-63.84523391723633,79.10791015625,0.01553099974989891,0.018143000081181526,-0.015544000081717968,-0.01549299992620945,0.0008479999960400164
-10.052374839782715,-67.18550872802734,77.17048645019531,0.01553099974989891,0.021602999418973923,-0.02245599962770939,-0.01549299992620945,0.0008479999960400164
-4.807654857635498,-70.25277709960938,75.02433776855469,0.023298000916838646,0.018143000081181526,-0.015544000081717968,-0.01549299992620945,0.0008479999960400164
0.2771649956703186,-73.04704284667969,72.63198852539062,-0.13204200565814972,0.021602999418973923,-0.015544000081717968,-0.01549299992620945,0.0008479999960400164
5.356655120849609,-75.60041809082031,70.02556610107422,-0.18641099333763123,0.018143000081181526,-0.015544000081717968,-0.01549299992620945,0.0008479999960400164
10.345535278320312,-77.7469711303711,67.1247787475586,-0.34175100922584534,0.018143000081181526,-0.008631999604403973,-0.01549299992620945,0.0008479999960400164
15.24913501739502,-79.63123321533203,63.977806091308594,-0.49709099531173706,0.018143000081181526,-0.01208799984306097,-0.01549299992620945,0.0008479999960400164
20.190044403076172,-81.33883666992188,60.63815689086914,-0.7067999839782715,0.021602999418973923,-0.008631999604403973,-0.018933000043034554,0.007703999988734722
25.035015106201172,-82.61285400390625,57.06837463378906,-0.8388389945030212,0.018143000081181526,-0.01208799984306097,-0.018933000043034554,0.007703999988734722
29.906635284423828,-83.65133666992188,53.156063079833984,-0.955344021320343,0.018143000081181526,-0.008631999604403973,-0.022373000159859657,0.0008479999960400164
34.778255462646484,-84.26692962646484,48.842350006103516,-1.0330140590667725,0.021602999418973923,-0.008631999604403973,-0.022373000159859657,0.0008479999960400164
